id;nombre_empleado;apellido_empleado;telefono_empleado;correo_empleado
1;alongside forswear;inasmuch sadly;scotch millet evenly;whose
2;worth testify;er;transom interesting;now makeover
3;hospitable sweetly;whereas;out;fax vivacious
4;sore;lawful duh;sermon;brr lieu dull
5;huzzah after;creative;gah zowie;delightfully brr
6;yuck ultimate yippee;hm;mid wholly;minister gladly
7;drat oddly lashes;hmph capitalise ick;boo;cope asset of
8;depute woeful married;accompanist indeed;minister huzzah;gadzooks blowgun
9;immediately patroller;amidst rear impure;inside;plus boo
10;uh-huh nicely;like;sardonic;ceramic
